X,Y,Z_10,Ss_10,Z_5,Ss_5,Z_2,Ss_2
140003.45715585054,389989.2165536451,0.09360130378137504,0.22916370056965463,0.1241161887967303,0.30906000837751973,0.17160516949940136,0.4358123857395573
140002.8041829886,399989.30139439285,0.1096654352366027,0.2646292925718189,0.16261427140847615,0.3905133526555832,0.25160090497535764,0.6027334376481477
140002.1493963736,409989.3862701616,0.10561004910647774,0.25554871836622634,0.1461196963250648,0.359858775606073,0.20599807502157075,0.5195070129214697
140001.49279770392,419989.4711819255,0.09806245584861899,0.2368314015834981,0.13878864863313914,0.33944200788547624,0.20441317459974817,0.5060823642704111
140000.8343886719,429989.55613064894,0.09281476394124724,0.22193004635278038,0.14442290691230272,0.34342027181260165,0.23026445454046746,0.5511156214829361
140000.17417098506,439989.64111729537,0.08077033100664659,0.1931994755429668,0.12848258851400135,0.30428182979376406,0.21379689824999076,0.5082376437321048
139999.51214634662,449989.72614281997,0.06845489895879092,0.1639546354417263,0.09621863667288884,0.23358010083961947,0.14789639326445425,0.36279774145514826
139998.8483164705,459989.8112081633,0.06246681949953814,0.1490444055686206,0.08353030574768405,0.20316727098088455,0.11769758932207039,0.29333328280530374
139998.18268307252,469989.8963142771,0.059537410501749835,0.1417597491270456,0.08333260710836979,0.20126763470203812,0.1335739552390948,0.3238172120348734
139997.51524787175,479989.981462088,0.05612297643661297,0.1332703793499412,0.07956962473110278,0.1913739018792146,0.13578992990493563,0.32447306047986735
139996.84601259412,489990.0666525285,0.05141173370984826,0.12138860525308867,0.06801749488898474,0.1634823984552553,0.09825896515068291,0.24096032209198365
139996.17497896956,499990.15188651846,0.04683417057909598,0.10993316373622433,0.05900273360186905,0.14117431580546483,0.07812840949062314,0.19141197920574982
139995.5021487322,509990.23716497305,0.04351372920522338,0.10154153906256833,0.05360781706772863,0.12746532356067844,0.0686465529472488,0.16699866314295908
139994.82752361993,519990.32248880074,0.04114392297145214,0.09547357017977186,0.050217580373632636,0.11867536431455251,0.06353207749971895,0.15348153760908706
139994.15110537712,529990.4078589006,0.03972309851549135,0.09179410820277144,0.04832035621555223,0.11368178646693787,0.06091555700744144,0.14643017892273577
139993.47289575014,539990.4932761732,0.03870428729096036,0.08913835083061335,0.04703099324412106,0.11025310230389102,0.05925242896039207,0.14188516965573877
139992.79289649217,549990.5787415067,0.038185644925132475,0.08778286435206868,0.04638781783002337,0.10853286659248407,0.05844260354603885,0.13965165407487012
139992.1111093586,559990.6642557795,0.037994331174038956,0.08729521846848505,0.04614745955907017,0.10790339131216743,0.058128778405065924,0.1388034316171186
139991.42753611153,569990.7498198714,0.03809412143036728,0.08759773459786539,0.04625376751081648,0.10823695725260965,0.05822524516027183,0.13913346373295254
